qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|Odległość strzału: {s1} metrów.
qstr_Next_Page|Następna strona
qstr_Game_Rules:^|Zasady gry:^
qstr_0|0
qstr_Show_game_rules|Pokaż zasady gry
qstr_Continue...|Kontynuuj...
qstr_Candidate_#1:_{s1}|Kandydat #1: {s1}
qstr_Candidate_#2:_{s1}|Kandydat #2: {s1}
qstr_{s3}_of_the_{s4}_wis|{s3}, którego ojczyzną jest {s4} życzy sobie wybrać nowego marszałka i zaprasza swoich wasali na naradę. {s1} i {s2} są głównymi kandydatami na ten urząd.
qstr_Who_do_you_wish_to_s|Komu chcesz udzielić wsparcia?
qstr_{s1}_gives_his_suppo|{s1} udziela wsparcia osobie o imieniu {s2}.
qstr_Number_of_Supporters|Liczba stronników: {reg0}
qstr_{s2}_has_heard_his_v|{s2} usłyszał naradę swoich wasali. Uznaje, że {s1} zostanie marszałkiem państwa o nazwie {s3}.
qstr_Action|Akcja
qstr_Mount|Na koń
qstr_Attack_Type|Typ ataku
qstr_Stand_Ground|Stać
qstr_Charge|Do ataku
qstr_Follow_Me|Za mną
qstr_Hold_This_Position|Utrzymać pozycję
qstr_Spread_Out|Rozproszyć się
qstr_Stand_Closer|Zgrupować się
qstr_Fall_Back|Do tyłu
qstr_Advance|Do przodu
qstr_Dismount|Z koni
qstr_Fire_At_Will|Strzelać bez rozkazu
qstr_Hold_Your_Fire|Wstrzymać ogień
qstr_Use_Blunt_Weapons|Użyć broni obuchowej
qstr_Use_Any_Weapon|Użyć dowolnej broni
qstr_Ready|Gotów
qstr_Wounded|Raniono
qstr_Dead|Zabito
qstr_Number_of_men_knocke|Liczba nieprzytomnych: {reg1}
qstr_Number_of_men_left:_|Liczba pozostałych: {reg1}
qstr_Opponents_Beaten:_{r|Pokonani przeciwnicy: {reg1}
qstr_Opponents_Remaining:|Pozostali przeciwnicy: {reg1}
qstr_Remain_in_retirement|Pozostań na odpoczynku.
qstr_Go_back_to_the_adven|Wróć do poszukiwania przygód.
qstr_You_have_retired_at_|Odchodzisz na odpoczynek na poziomie {reg4}, po {reg5} dniach pełnych przygód.
qstr_Effect_on_Score|Wpływ na wynik
qstr_Settlements_owned_by|Posiadane osady: {reg0}
qstr_Friendly_Settlements|Sojusznicze osady: {reg0}
qstr_Hostile_Settlements:|Wrogie osady: {reg0}
qstr_Friendly_Lords:_{reg|Sojuszniczy lordowie: {reg0}
qstr_Enemy_Lords:_{reg0}|Wrodzy lordowie: {reg0}
qstr_Victories:_{reg0}|Zwycięstwa: {reg0}
qstr_Defeats:_{reg0}|Porażki: {reg0}
qstr_Quests_Completed:_{r|Ukończone misje: {reg0}
qstr_Companions_Found:_{r|Odnalezieni towarzysze: {reg0}
qstr_Companions_Lost/Depa|Utraceni/odesłani towarzysze: {reg0}
qstr_Wealth:_{reg0}_denar|Bogactwo: {reg0} denarów
qstr_Inventory:_{reg0}_de|Ekwipunek: {reg0} denarów
qstr_Renown:_{reg0}|Reputacja: {reg0}
qstr_Experience:_{reg0}|Doświadczenie: {reg0}
qstr_Days_Passed:_{reg0}|Liczba dni: {reg0}
qstr_Difficulty:_{reg0}%|Poziom trudności: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|ŁĄCZNY WYNIK: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Brak
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Wages_for_your_Shipc|Wynagrodzenie dla twojej załogi:
qstr_Staff:|Personel:
qstr_Tributes_from_your_n|Danina od twoich wasali:
qstr_You_paid_{reg0}_cash|Płacisz {reg0} gotówki, aby zlikwidować dług
qstr_Earlier_cash:|Wcześniej pieniędzy:
qstr_New_cash:|Teraz pieniędzy:
qstr_Done|Gotowe
qstr_Name:_{s1}^Level:_{r|Imię: {s1}^Poziom: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^PŻ: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Ustawienia podmiany broni:
qstr_Apply_to_everyone|Akceptuj dla wszystkich
qstr_Upgrade_armor_|Ulepsz pancerze 
qstr_Upgrade_horse_|Ulepsz konie 
qstr_Price_threshold_of_i|Próg cenowy dla zbieranych przedmiotów:
qstr_Select_your_domestic|Wybierz politykę wewnętrzną
qstr_Centralization:|Centralizacja:
qstr_Aristocracy:|Arystokracja:
qstr_Serfdom:|Poddaństwo:
qstr_Troop_quality:|Jakość wojsk:
qstr_Mercantilism:|Merkantylizm:
qstr_High_centralization_|Wysoki poziom centralizacji zmniejsza szansę na bezskuteczne zbieranie podatków dla króla i zwiększa ją dla jego wasali. Polityka ta ingeruje w relacje między władcą a jego wasalami.
qstr_High_aristocracy_wil|Wysoki poziom arystokracji polepszy relacje między królem a jego wasalmi, którzy będą w stanie tworzyć większe armie. Polityka ta niekorzystnie wpływa na handel.
qstr_High_serfdom_reduces|Wysoki poziom poddaństwa zmniejsza szansę na bezskuteczne zbieranie podatków dla króla i jego wasali, którzy są w stanie utrzymać większe armie. Polityka ta niekorzystnie wpływa na morale żołnierzy.
qstr_High_troop_quality_i|Wysoka jakość jednostek zwiększa ich potęgę. Polityka ta niekorzystnie wpływa na wielkość armii.
qstr_Mercantilistic_polic|Polityka merkantylizmu polega na maksymalizacji eksportu, przy jednoczesnej minimalizacji importu i zwiększeniu regulacji przemysłu.
qstr_Cancel|Anuluj
qstr_Dictate_the_peace_te|Dyktuj warunki pokoju
qstr_Select_the_castle_an|Wybierz zamek oraz ilość pieniędzy i zaznacz pole aby aktywować żądania. Jeśli zaznaczysz oba pola, żądania będą połączone.
qstr_1000_denars|1000 denarów
qstr__Faction_Relations_R| Raport stosunków z frakcjami 
qstr__Return_to_menu_| Powrót do menu
qstr_Your_kingdom|Twoje królestwo
qstr_Player^Relation|Relacje^gracza
qstr_War|Wojna
qstr_Casus_Belli|Casus Belli
qstr_Peace|Pokój
qstr_Truce|Rozejm
qstr_Alliance|Przymierze
qstr_Defense|Obrona
qstr_Trade|Handel
qstr_{reg59?{reg59}_days:|{reg59?{reg59} dni:}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|Lojalny
qstr_Devoted|Oddany
qstr_Fond|Lubiący
qstr_Gracious|Wdzięczny
qstr_Friendly|Przyjazny
qstr_Supportive|Wspierający
qstr_Favorable|Życzliwy
qstr_Cooperative|Współpracujący
qstr_Accepting|Akceptujący
qstr_Indifferent|Obojętny
qstr_Suspicious|Podejrzliwy
qstr_Grumbling|Narzekający
qstr_Hostile|Nieprzyjazny
qstr_Resentful|Niechętny
qstr_Angry|Zły
qstr_Hateful|Nienawidzący
qstr_Revengeful|Zawistny
qstr_Vengeful|Mściwy
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Centrum
qstr_{reg62}_Caravans|{reg62} Karawany
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}Lordowie
qstr_Sell_items_automatic|Sprzedaj przedmioty automatycznie po opuszczeniu lokacji:
qstr_Price_limit_for_auto|Limit cenowy dla auto-sprzedaży:
qstr_Item_types_for_auto_|Typy przedmiotów dla auto-sprzedaży:
qstr_Select_all|Zaznacz wszystko
qstr_Select_invert|Zaznacz odwrotnie
qstr_{s1}^HP:_{reg0}|{s1}^PŻ: {reg0}
qstr_Attributes:|Atrybuty:
qstr_{s3}^STR:_{reg1}^INT|{s3}^SIŁ: {reg1}^INT: {reg2}^^Umiejętności:
qstr_{s3}^Power_Strike:_{|{s3}^Siła uderzenia: {reg1}^Siła naciągu: {reg2}^Siła rzutu: {reg3}^Strzelanie z siodła: {reg4}^^Władanie bronią:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^Broń 1-ręczna: {reg1}^Broń 2-ręczna: {reg2}^Broń drzewcowa: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^ZRĘ: {reg1}^CHA: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^Wytrzymałość: {reg1}^Atletyka: {reg2}^Posługiwanie się tarczą: {reg3}^Jazda konna: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^Łucznictwo: {reg1}^Kusznictwo: {reg2}^Broń miotana: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Ekwipunek: 
qstr_One_Handed_Weapons|Bronie 1-ręczne
qstr_Two_Handed_Weapons|Bronie 2-ręczne
qstr_Polearms|Bronie drzewcowe
qstr_Ranged_Weapons|Bronie dystansowe
qstr_Shields|Tarcze
qstr_Helmets|Hełmy
qstr_Armors|Pancerze
qstr_Boots|Buty
qstr_Gauntlets|Rękawice
qstr_Horses|Konie
qstr_Please_reselect_a_co|Proszę wybrać dowódcę do zbliżającej się bitwy^^Obecny dowódca: {s0}.
qstr_Arms:|Bronie:
qstr_{s2}^None|{s2}^Brak
qstr_{s2}^{s3}|{s2}^{s3}
qstr_{s2}^{s4}{s3}|{s2}^{s4}{s3}
qstr_{s2}^^Outfits:|{s2}^^Stroje:
qstr_{s2}^^Horse:|{s2}^^Koń:
qstr_{s2}|{s2}
qstr_{reg1}^money_in_the_|{reg1}^pieniądze w skrzyni
qstr_{reg2}^money_in_your|{reg2}^pieniądze w twoim ekwipunku
qstr_Withdraw|Wycofaj
qstr_Deposit|Depozyt
qstr_Record_Battle_Size_a|Maks. wielkość bitwy do ust. w opcjach:
qstr_The__Weapon_Use_Fixe|Zmiana zach. NPC podczas walki bronią-^z następujących rodzajów broni.^^Odznacz zaznaczone pola jeśli nie lubisz takiego zachowania NPC.
qstr_Use_NPC_Lancer_Fix:|Zamian zach. lancy NPC:
qstr_Use_NPC_Horse_Archer|Zmiana zach. łuczników konnych NPC:
qstr_Use_NPC_Spear/Polear|Zmiana zach. broni drzewcowej NPC:
qstr_Use_Pike/Horse_Damag|Zatrzymywanie konia przez włócznie:
qstr_Distance_limit_for_s|Limit odl. dla pokazania paska zdrowia:
qstr_Show_health_bars_of_|Pokaż pasek zdrowia u wszystkich:
qstr_Show_health_bars_of_e|Pokaż pasek zdrowia u wroga:
qstr_Show_battle_minimap:|Pokaż minimapę bitwy:
qstr_Size_of_battle_minim|Rozmiar minimapy bitwy (%):
qstr_Enable_Battle_Contin|Włącz kontynuację walki:
qstr_Batt._Cont._Charge_a|Uaktywnij "Do ataku" gdy polegniesz:
qstr_Formations_Battle_AI|Włącz Formacje AI:
qstr_Enable_AI_to_use_Spe|Włącz operownie włócznią AI:
qstr_Reassign_De_horsed_C|Przypisz konie Kawalerzystą:
qstr_Reassign_No_Ammo_Arc|Zmiana dywizji po utracie pocisków dla K.Łuczników:
qstr_Reinforcement_waves:|Zwiększ ilość fale posiłków:
qstr_Report_shot_distance|Raport o odległości strzału:
qstr_Report_extra_XP_&_Wp|Raport o bonusowych PD i Punktach broni:
qstr_Enable_Bodyguards_in|Towarzystwo Kompanów w miastach/wioskach::
qstr_Morale_threshold_for|Tempo spożywania żywności pomiżej Progu M^Dwa razy szybciej niż normalnie:
qstr_Speed_of_battles_on_|Szybkość bitew na mapie świata:
qstr_Skill_penalty_from_e|Kary do umiejętności za obciążenie:
qstr_Ranged_penalty_from_|Okresowe kary od pogody:
qstr_Disable_horse_speed_|Wyłącz skalowanie szybkości konia:
qstr_Allow_drowning_in_mi|Allow drowning in missions:
qstr_Terrain_advantage_in|Wpływ terenu na bitwy automatyczne:
qstr_Enable_Tournament_En|Włącz Zaawansowane turnieje:
qstr_Lords_returning_from|Lordowie powracający z wygnania:
qstr_Diplomacy_AI_changes|Dyplomacy MOD zmiany AI:
qstr_Diplomacy_economic_c|Dyplomacy MOD zmiany gospodarcze:
qstr_Anti_woman_prejudice|Poziom seksizmu:
qstr_Enable_Fog_of_War:|Włącz mgłę wojny:
qstr_Disable_Time_of_Day:|Wyłącz pory dnia:
qstr_Probability_of_rain/|Szansa na deszcz/ śnieg (%):
qstr_Cloud_amount:|Stopień zachmurzenia:
qstr_Fog_strength:|Siła mgły:
qstr_Disable_companions__|Wyłącz skargi towarzyszy:
qstr_Enable_debug_mode:|Włącz debug mode:
qstr_Charge_All|Wszyscy do ataku
qstr_Formations_AI|Formacje AI
qstr_Native_AI_w/Formatio|Native AI, Formacje
qstr_Enabled|Włączone
qstr_Frequent|Częste
qstr_Low|Niskie
qstr_Medium|Średnie
qstr_High/Experimental|Wysokie/Faza testowa
qstr_Default|Domyślne
qstr_High|Wysokie
qstr_Floris_Mod^Options|Floris Opcje^Modyfikacji
qstr_About_morale_thresho|O progu morale: Jeśli morale spadnie poniżej tej wartości, szybkość spożywania jedzenia będzie dwa razy większa niż normalnie. Jeśli morale wzrośnie powyżej tej wartości, szybkość spożywania jedzenia będzie dwa razy wolniejsza niż normalnie.
qstr_Restore_Defaults|Przywróć domyślne
qstr_Key_Settings|Ustawienia klawiszy
qstr_You_can_recruit_troo|Można rekrutować żołnierzy z {s1} do {reg6?zamku:miasta}. Rekrutacja będzie kosztowała {reg4} denarów i będzie wymagała oczekiwania co najmniej jeden dzień. Posiadasz {reg1} pozostawionych tutaj denarów (możesz zrekrutować do {reg2} {reg3?razy:raz}) i posiadać {reg5} denarów w ekwipunku.
qstr_Decrease_times_of_re|Zmniejsz ilość rekrutacji
qstr_Increase_times_of_re|Zwiększ ilość rekrutacji
qstr_Sovereign_color_of_t|Barwa twojego państwa {s0}:
qstr_Red:|Czerwony:
qstr_Green:|Zielony:
qstr_Blue:|Niebieski:
qstr__| 
qstr_HTML_code:_{s0}|HTML code: {s0}
qstr_Randomize|Losowo
qstr_{s1}_{reg3}/{reg2}_|{s1}({reg3}/{reg2})
qstr_{s1}_{reg2}_|{s1}({reg2})
qstr_Move_to_Top|Przesuń do góry
qstr_Move_Up|Przesuń w górę
qstr_Move_Down|Przesuń w dół
qstr_Move_to_Bottom|Przesuń do dołu
qstr_Buy_foods_automaticl|Zakup żywność automatycznie przy opuszczaniu lokacji:
qstr_*|*
qstr_Character_Background|Historia postaci
qstr_Your_story:|Twoja historia:
qstr_Your_gender:|Twoja płeć:
qstr_Your_father_was:|Twój ojciec był:
qstr_You_spent_your_early|Spędziłeś swoją młosość jako:
qstr_Later_you_became:|Później zostałeś:
qstr_The_reason_for_an_ad|Powodem poszukiwania przygód jest::
qstr_female|kobieta
qstr_male|mężczyzna
qstr_a_thief|złodziejem
qstr_a_steppe_nomad|nomadem stepowym
qstr_a_hunter|myśliwym
qstr_a_veteran_warrior|doświadczonym wojownikiem
qstr_a_travelling_merchan|podróżującym kupcem
qstr_an_impoverished_nobl|ubogim arystokratą
qstr_a_steppe_child|dzieckiem stepów
qstr_a_street_urchin|dzieckiem ulicy
qstr_a_shop_assistant|pomocnikiem w sklepie
qstr_a_craftsman_s_appren|uczniem rzemieślnika
qstr_a_page_at_a_nobleman|sługą na dworze arystokraty
qstr_a_game_poacher|kłusownikiem
qstr_a_smith|kowalem
qstr_a_goods_peddler|domokrążcą
qstr_a_university_student|uczniem na uniwersytecie
qstr_a_troubadour|trubadurem
qstr_a_squire|przedstawicielem szlachty
qstr_a_lady_in_waiting|damą dworu
qstr_lust_for_money_and_p|żądza pieniędzy i władzy
qstr_being_forced_out_of_|wyrzucenie z domu
qstr_wanderlust|żądza przygód
qstr_the_loss_of_a_loved_|utrata ukochanej osoby
qstr_personal_revenge|osobista zemsta
qstr_Conscript_quality:|Jakość jednostek:
qstr_High_centralization_r|Wysoki poziom centralizacji zmniejsza szansę na bezskuteczne zbieranie podatków dla króla i zwiększa ją dla jego wasali. Polityka ta ingeruje w relacje między władcą a jego wasalami.
qstr_High_aristocracy_will|Wysoki poziom arystokracji polepszy relacje między królem a jego wasalmi, którzy będą w stanie tworzyć większe armie. Polityka ta niekorzystnie wpływa na handel.
