ip_mod_tips|Porady
ip_mod_tips_text|1. Możesz obrać postać ze swojego oddziału na dowódcę, oraz osobiście kontrolować ją podczas walki. ^^2. W menu auto-plądrowania, możesz pozwolić bohaterom wybrać ekwipunek atomatycznie, oraz powiedzieć im, jak mają go ulepszać. ^^3. Kompanii mogą także czytać książki,a w menu auto-plądrowania możesz pozwolić im wybierać i czytać dozwolone książki automatycznie. ^^4. W opcjach obozu możesz ustawić szanse opadów deszczu i śniegu. Opady śniegu na śnieżnych terenach oraz opady deszczu na pozostałych ziemiach. ^^5. Podczas auto-sprzedaży, ekwipunek towarzyszy, których typ został został wyznaczony do sprzedarzy, a wartość ich jest poniżej limitu cenowego auto-sprzedarzy,będą sprzedawane automatycznie u wszystkich kupców w miastach, oraz u starszyzny we wsiach. Z wyjątkiem jedzenia, dóbr handlowych oraz książek, które nie zostaną sprzedane. ^^6. Dla szybkiego przemieszczania jednostek albo ich awansu w oknie oddziału, przytrzymaj klawisz Ctrl i kliknij lewym przyciskiem muszy. ^^7. Wszystkie oddziały mogą wesprzeć swoich sprzymierzeńców, jak oddziały magnatów, oraz dołączyc się bezpośrednio do bitwy. ^^8. Po ucieczce z bitwy, lub napotkasz silniejszych wrogów i pozostawisz żołnierzy do osłony tułów , prędkość poruszania się oddziału, będzie dwa razy szybsza przez pół godziny (czasu gry), a następnie powróci do normy. ^^9. Suma wagi Twojego ekwipunku będzie miała wpływ na łucznictwo, jeździectwo oraz strzelanie z siodła. ^^10. Możesz rozkazać swoim żołnierzom do przejścia i zajęcia wyznaczonego miejsca, naciskając i przytrzymując klawisz F1. ^^11. Konie i ludzie poruszają się wolniej w czasie deszczu. ^^12. Możesz czekać na mapie świata, przez przytrzymanie spacji. ^^13. W tawernach możesz rekrutować żołnierzy do swojego oddziału. ^^14. Możesz wydawać rozkazy w czasie bitwy. ^^15. Oddział z wysokimi moralami poruszają się szybcie podczas podróży na mapie. ^^16. Ranni członkowie oddziały będą zrowieć szybcie podczas ospoczynku w tawernach. ^^17. Do szybszego kupowania i sprzedawanie w oknie ekwipunku, przytrzymaj klawisz Ctrl i kliknij lewym przyciskiem muszy. ^^18. Naciśnij klawisz Backspace podczas bitwy, aby wywołać okno dowodzenia. ^^19. Będziesz płacił połowę żołdu, gdy będziesz stacjonował w miastach, lub zamkach. Podobnie, będziesz płacił połowę żołdu jednostką w garnizonie Twojego zamku ^^20. Możesz opuścić dowolne miejsce natychmiast po naciśnięciu klawisza TAB. ^^21. Przytrzymaj klawisz SHIFT aby przybliżyć, przy celowaniu w odelgłych wrogów.
ip_troop_tree|Drzewo awansu jednostek
ip_troop_tree_text|Drzewo awansu jednostek jest charakterystyczne dla każdej frakcji. Pokazuje w jaki sposób szkoleni są coraz lepsi żołnierze. A jak wszyscy wiemy, lepsze wojsko robi różnicę - między epickim zwycięstwem a sromotnym końcem w najgłębszych lochach Khudan. Kluczowym jest zrozumienie filozofii drzewa awansu jednostek każdej frakcji. ^^ Choć na pierwszy rzut oka drzewa awansu jednostek wydają się trudne do zrozumienia, jest w nich ukryta logika, która rządzi się trzema głównym prawami: 1. Wyszkolenie naprawdę dobrych jednostek jest kosztowne i czasochłonne 2. żołnierze mogą się specjalizować lub iść w kierunku wszechstronności 3. Każda z frakcji ma własne metody szkolenia. Przyjrzyjmy się bliżej tym trzem zasadom. ^^ Zasada nr 1. kosztowność i czasochłonność: występuje już w Mount & Blade: Warband pod postacią poziomów. Wyszkolenie trzydziestopoziomowego rycerzy zajmowało wiele czasu, nie zostały jednak uwydatnione koszty szkolenia oraz ulepszenia ekwipunku. Będziesz musiał zapłacić sześć razy, zanim z rekruta wyszkolisz elitarną jednostkę, o ile do tego czasu dożyje. ^^Druga reguła mówi, że żołnierze też są ludźmi z własnymi planami rozwoju kariery i stylu walki. ^^Trzecia zasada powiada, że każda frakcja udoskonaliła własne metody treningu. W przełożeniu na drzewo awansu jednostek oznacza to inne uzbrojenie i inny typ elitarnych jednostek: ^^Swadia. Oparta o wzorce angielsko-francuskie, specjalizuje się w jeździe i strzelcach z długimi łukami. Żołnierze są trenowanie głównie w broni drzewcowej, jednak pikinierzy nie są paradoksalnie ich mocną stroną. Lepszymi od nich piechurami są dwuręczniacy, walczący wielkim mieczem typu claymore. Klasą ustępują jednak jeźdźcom i łucznikom Swadii. ^^Vaegirowie. Bazując na wczesnoruskich wzorcach, oni także wsyspecjalizowali się w silnej jeździe, lecz zapożyczyli do tego kilka sztuczek, nauczonych podczas wojen veagirsko-khergickich, mimo że nie władają tak dobrze łukami, używają ich konno. Ich słabość leży w piechocie, czy to topornikach czy używającej miecza jednoręcznego. ^^Khergici, Calradyjscy Mongołowie. Żyją i umierają na koniu, nie dziwi wiec fakt, że ich elitarne jednostki są konne. Wcześniejsze stadia jednostek specjalizują się w broniach jednoręcznych oraz łukach. ^^Nordowie, oparci o wzorce skandynawskie i wczesnonormańskie. Są przeciwieństwem Khergitów: nie znajdziesz konnego w szeregach armii nordyckiej. Są świetnie wyszkoleni we władaniu włócznią i toporem, a także są mistrzami w rzucaniu nimi. Posiadają również łuczników, jednak nie znajdują oni uznania wśród dowódców Nordów. ^^Rhodocy, oparci na włoskich miastach-państwach, takich jak Wenecja i Genua. Podobnie jak Nordowie, nie posiadają wiele konnnicy w szeregach, co nadrabiają wyszkoleniem w róznych rodzajach kusz i mieczy. Posiadają też mistrzowskich trenerów władania włóczniami. ^^Sarranidzi, inspirowani wojskami Orientu. Znani są z opanowania do perfekcji sztuki władania sejmitarami. Podobnie jak Khergici opanowali sztukę łucznictwa konnego, potrafią jednak również wyszkolić naprawdę ciężką konnicę, której unikalność leży w maczugach. ^^Najemnicy, w oparciu o Święte Imperium Rzymskie. Jako frakcja bez posiadłości ziemskich, są do wynajęcia przez każdego. Ich trening nie jest tak obszerny jak pozostałych frakcji, jednak ich ekwipunek stanowi ważny argument za uzupełnieniem Twoich szeregów o najemników - od szwajcarskich pikinierów, niemieckich dwuręczniaków, teutońskich rycerzy, a nawet kuszników. ^^Kobiety. Nigdy nie lekceważ kobiet, szczególnie tych ze Świętego Imperium Rzymskiego. Są najemnikami, jednak z innymi uzbrojeniem - łukami, młotami i mieczami. ^^Jak widzisz, frakcje posiadają swoje mocne i słabe strony, niektóre posiadają też uzbrojenie, jakiego nie znajdziesz w żadnym arsenale. ^^Teraz już rozumiesz czemu drzewa awansu jednostek są tak rozłożyste. Nie ogranicza Cię do prostego awansowania jednostek, lecz daje możliwość wyboru sposobu treningu i wykreowania unikalnej armii. Drzewa rozwoju jednostek we Florisie nadają kompletnie inny wymiar rozgrywce, stanowiąc prawdziwie strategiczne wyzwanie.
ip_dplmc_info|Diplomacy Mod
ip_dplmc_info_text|Diplomacy Mod wzbogaca rozgrywkę o kilka opcji. Dostęp do większości z nich otrzymujesz przez swojego ministra i kilka nowych stanowisk: skarbnika, nadzorcę wojsk i kanclerza. Zyskasz możliwość powołania skarbnika po zajęciu pierwszej wioski, nadzorcę wojsk po zajęciu pierwszego zamku, a kanclerza, gdy zdobędziesz pierwsze miasto. Po zwolnieniu jednego z nich możesz zatrudnić kolejnego dzięki swoim znajomością w tawernach Calradii. ^^Pozostałe opcje moda skrywa ekran obozu. ^^Ta wersja Florisa używa moda Diplomacy Version 4.2 (November 27, 2011).
ip_dplmc_autoloot|Auto-plądrowanie
ip_dplmc_autoloot_text|Menu autoplądrowania dostępne jest z menu obozu.  Pozwala ono wybrać, jakie przedmioty członkowie Twojej drużyny będą automatycznie zabierali z pola walki.  Żeby uruchomić tę opcję, musi zostać spełniona jedna z następujących opcji: ktoś z drużyny musi posiadać minimalnie 2 punkty umiejętności plądrowanie, ktoś w drużynie musi mieć umiejętnośc zarządzania ekwipunkiem o wartości 3 lub więcej lub gracz musi posiadać tę umiejętność na poziomie 3.
ip_dplmc_autosell|Auto-sprzedaż
ip_dplmc_autosell_text|Autosprzedaż umożliwia Ci sprzedaż wielu przedmiotów jednocześnie.  Autoprzedażą zarządzasz z menu miasta, gdzie ustalasz jakie przedmioty chcesz sprzedawać automatycznie zamiast żmudnego klikania ich pojedynczo, dla przykładu nie chcesz sprzedawać automatycznie koni lub przedmiotów o wartości powyżej 200 denarów. ^^Istnieją dwa główne sposoby użycia autosprzedaży: podczas rozmowy ze sprzedawcą wyświetli się odpowiednia opcja lub w menu miasta.^^ Dla ludzi, którzy używali autosprzedaży w innych modach = przedmioty są sprzedawane z Twojego ekwipunku według pewnych reguł - nigdy nie zostaną sprzedane pierwsze trzy przedmioty z ekwipunku ani rzeczy, które masz na sobie. Autosprzedaż ominie również wszystko, co mogłoby być Twoim zapasowym wyposażeniem, to znaczy drugi miecz, druga tarcza itd. Nie zostanie także sprzedany Twój najlepszy łuk, kusza, włócznia etc. Nie zostaną sprzedan Twoje trzy najlepsze kołczany strzał ani bełtów, a także trzy najlepsze bronie miotane.
ip_morale|Morale
